defId,name,rating,positions,nation,league,club,cardType,isWomens,promoName
s0314,V. Valoulos,81,LW|ST,Danmarken,Serie Prima,Fiorente,rare,no,
s0315,B. Rasoulos,81,LM|LW,Caledonia,Premier Division,Fairhaven,rare,no,
s0316,M. Renridge,81,ST,Quebeca,Bundesklasse,Eichwald,rare,no,
s0317,S. Lunzaki,81,LW|ST,Senegalia,Serie Prima,Fiorente,rare,no,
s0318,J. Pelaoui,81,LB|LM,Hispania,Premier Division,Brackley City,rare,yes,
s0319,H. Raskova,81,RM|RW,Osteria,Liga Primera,Fuentes,rare,no,
s0320,D. Renaoui,81,RM|RW,Polonia,Saudi Elite,Al Farid,rare,no,
s0321,P. Sormann,80,LB|LM,Hispania,Eredivisie Noord,Dinxperlo,rare,no,
s0322,T. Fenridge,80,GK,Francia,Premier Division,Comberton,rare,yes,
s0323,T. Bernardo,80,CAM|CF,Eiretown,Premier Division,Eastgate,rare,no,
s0324,E. Valsson,80,LM|LW,Lusitania,Serie Prima,Doriano,rare,no,
s0325,L. Beraoui,80,LB|LM,Caledonia,Liga Sul,Estrela,rare,no,
s0326,T. Nurtinez,80,RM|RW,Albion,Liga Sul,Cascavel,rare,no,
s0327,D. Gorley,80,RB|RM,Lusitania,Ligue Premiere,Estrelle,rare,yes,
s0328,N. Vormann,80,GK,Rioverde,Ligue Premiere,Dumarais,rare,no,
s0329,E. Luninho,80,CB,Danmarken,Ligue Premiere,Dumarais,rare,no,
s0330,H. Bermann,80,ST|CF,Polonia,Bundesklasse,Adlerberg,rare,no,
s0331,D. Sorderse,80,CB,Danmarken,Liga Sul,Estrela,rare,no,
s0332,E. Fenderse,80,LM|LW,Caledonia,Liga Sul,Diamantina,rare,no,
s0333,F. Hanmann,80,LM|LW,Marokka,Saudi Elite,Al Bahri,rare,no,
s0334,A. Fenstad,80,ST,Polonia,Serie Prima,Fiorente,rare,no,
s0335,J. Ostovic,80,RW|ST,Quebeca,Liga Primera,Castellano,rare,no,
s0336,C. Vorescu,80,RW|ST,Danmarken,Premier Division,Comberton,rare,no,
s0337,A. Pelmann,80,GK,Turkia,Liga Sul,Diamantina,rare,no,
s0338,J. Fenridge,80,CDM|CM,Koria,Serie Prima,Boldini,rare,yes,
s0339,H. Cavnardo,80,CB|LB,Japonia,Eredivisie Noord,Broekhof,rare,no,
s0340,D. Tamaoui,80,LM|LW,Hispania,Ligue Premiere,Chalonne,rare,no,
s0341,V. Goraoui,80,CDM|CM,Rioverde,Ligue Premiere,Dumarais,rare,no,
s0342,R. Rasridge,80,CB,Germania,Liga Sul,Barreiro,rare,no,
s0343,R. Cavtinez,80,RW|ST,Lusitania,Ligue Premiere,Estrelle,rare,no,
s0344,S. Vortinez,80,LM|LW,Batavia,Ligue Premiere,Fontenay,rare,no,
s0345,C. Dalderse,80,CM|CAM,Lusitania,Ligue Premiere,Beaufort,rare,no,
s0346,N. Osttinez,80,CM|CAM,Hispania,Saudi Elite,Al Farid,rare,no,
s0347,H. Nurmann,80,CB|LB,Koria,Liga Primera,Bellamar,rare,no,
s0348,N. Tamaoui,80,LM|LW,Caledonia,Premier Division,Brackley City,rare,no,
s0349,V. Tamstad,80,LM|LW,Caledonia,Ligue Premiere,Chalonne,rare,no,
s0350,D. Renstad,80,RB|RM,Eiretown,Liga Sul,Aracaju FC,rare,no,
s0351,F. Rennardo,80,LM|LW,Marokka,Premier Division,Comberton,rare,no,
s0352,K. Fenderse,80,RM|RW,Quebeca,Liga Sul,Aracaju FC,rare,no,
s0353,A. Cavescu,80,LM|LW,Hispania,Liga Primera,Alcazar,rare,no,
s0354,B. Tamnardo,80,LB|LM,Lusitania,Saudi Elite,Al Rakan,rare,no,
s0355,B. Nurridge,79,CAM|CF,Polonia,Liga Primera,Castellano,rare,no,
s0356,C. Marnardo,79,RM|RW,Francia,Liga Primera,Duranza,rare,no,
s0357,F. Sorzaki,79,CM|CAM,Danmarken,Eredivisie Noord,Eemsdijk,rare,no,
s0358,J. Dalgaard,79,RB|RM,Norvegia,Liga Sul,Cascavel,rare,no,
s0359,C. Sormann,79,GK,Japonia,Liga Sul,Aracaju FC,rare,no,
s0360,J. Kalderse,79,RB|RM,Caledonia,Saudi Elite,Al Bahri,rare,no,
s0361,R. Valkova,79,RM|RW,Italica,Serie Prima,Cerveto,rare,no,
s0362,M. Berderse,79,CAM|CF,Rioverde,Liga Sul,Barreiro,rare,no,
s0363,P. Tamovic,79,ST|CF,Italica,Liga Sul,Cascavel,rare,no,
s0364,V. Vorzaki,79,LB|LM,Eiretown,Liga Sul,Aracaju FC,rare,yes,
s0365,K. Nurgaard,79,LB|LM,Quebeca,Ligue Premiere,Fontenay,rare,no,
s0366,A. Berley,79,ST|CF,Koria,Eredivisie Noord,Cuijkstad,rare,no,
s0367,A. Luntinez,79,CB|RB,Marokka,Liga Primera,Alcazar,rare,no,
s0368,G. Kalstad,79,LB|LM,Italica,Ligue Premiere,Estrelle,rare,no,
s0369,S. Gorridge,79,RM|RW,Osteria,Ligue Premiere,Chalonne,rare,no,
s0370,P. Hannardo,79,ST|CF,Lusitania,Serie Prima,Aterno,rare,no,
s0371,N. Nurkova,79,ST|CF,Norvegia,Serie Prima,Emporia,rare,no,
s0372,H. Valsson,79,LM|LW,Norvegia,Eredivisie Noord,Broekhof,rare,no,
s0373,G. Rasley,79,RW|ST,Hispania,Bundesklasse,Freistadt,rare,no,
s0374,D. Renovic,79,CB,Lusitania,Bundesklasse,Freistadt,rare,no,
s0375,N. Gortinez,79,LW|ST,Francia,Eredivisie Noord,Aalsmeer,rare,no,
s0376,G. Kalsson,79,RB|RM,Koria,Bundesklasse,Brandhof,rare,no,
s0377,D. Fenescu,79,CAM|CF,Turkia,Saudi Elite,Al Farid,rare,no,
s0378,P. Ostsson,79,CB|RB,Caledonia,Serie Prima,Boldini,rare,no,
s0379,M. Dalaoui,79,RW|ST,Caledonia,Liga Sul,Diamantina,rare,yes,
s0380,F. Hannardo,79,LM|LW,Francia,Bundesklasse,Dornbach,rare,no,
s0381,H. Vorescu,78,LW|ST,Germania,Ligue Premiere,Estrelle,rare,no,
s0382,J. Cavtinez,78,CM|CAM,Senegalia,Eredivisie Noord,Dinxperlo,rare,no,
s0383,T. Osttinez,78,ST|CF,Lusitania,Premier Division,Denholm Rovers,rare,no,
s0384,F. Daloulos,78,CB|RB,Eiretown,Bundesklasse,Dornbach,rare,no,
s0385,D. Kalaoui,78,CAM|CF,Germania,Liga Sul,Aracaju FC,rare,no,
s0386,F. Lungaard,78,GK,Osteria,Premier Division,Eastgate,rare,no,
s0387,R. Sornardo,78,LB|LM,Danmarken,Liga Primera,Fuentes,rare,no,
s0388,M. Vormann,78,CB|LB,Germania,Bundesklasse,Brandhof,rare,yes,
s0389,J. Hannardo,78,LM|LW,Eiretown,Saudi Elite,Al Qamar,rare,no,
s0390,F. Gorderse,78,ST|CF,Rioverde,Eredivisie Noord,Dinxperlo,rare,no,
s0391,F. Fenaoui,78,ST,Marokka,Premier Division,Fairhaven,rare,no,
s0392,J. Tamderse,78,CB|RB,Japonia,Ligue Premiere,Estrelle,rare,yes,
s0393,M. Ostmann,78,CM|CAM,Polonia,Premier Division,Ashford United,rare,no,
s0394,T. Kalkova,78,CM|CAM,Polonia,Premier Division,Ashford United,rare,no,
s0395,D. Kalzaki,78,RM|RW,Albion,Liga Primera,Castellano,rare,no,
s0396,T. Rasescu,78,RB|RM,Turkia,Premier Division,Denholm Rovers,rare,no,
s0397,T. Hannardo,78,GK,Danmarken,Saudi Elite,Al Qamar,rare,no,
s0398,N. Valaoui,78,RB|RM,Japonia,Liga Primera,Castellano,rare,no,
s0399,K. Lunridge,78,RM|RW,Albion,Liga Sul,Barreiro,rare,no,
s0400,E. Cavaoui,78,ST,Marokka,Saudi Elite,Al Bahri,rare,no,
s0401,T. Daloulos,78,CM|CAM,Senegalia,Serie Prima,Cerveto,rare,no,
s0402,B. Kalinho,78,CAM|CF,Hispania,Serie Prima,Fiorente,rare,no,
s0403,J. Marinho,77,ST|CF,Eiretown,Ligue Premiere,Chalonne,rare,no,
s0404,S. Gorkova,77,LW|ST,Germania,Ligue Premiere,Beaufort,rare,no,
s0405,J. Sorgaard,77,GK,Rioverde,Premier Division,Brackley City,rare,yes,
s0406,B. Fengaard,77,CM,Norvegia,Saudi Elite,Al Farid,rare,no,
s0407,A. Tamsson,77,LB|LM,Koria,Saudi Elite,Al Bahri,rare,no,
s0408,A. Lunridge,77,GK,Danmarken,Ligue Premiere,Chalonne,rare,no,
s0409,G. Nuroulos,77,CM,Polonia,Liga Primera,Duranza,rare,no,
s0410,S. Lunaoui,77,RW|ST,Caledonia,Eredivisie Noord,Aalsmeer,rare,no,
s0411,N. Cavtinez,77,ST,Marokka,Saudi Elite,Al Bahri,rare,no,
s0412,C. Cavderse,77,ST,Eiretown,Ligue Premiere,Fontenay,rare,no,
s0413,N. Valmann,77,GK,Quebeca,Premier Division,Comberton,rare,no,
s0414,B. Fenley,77,LM|LW,Quebeca,Liga Sul,Aracaju FC,rare,no,
s0415,T. Gorsson,77,ST,Caledonia,Serie Prima,Emporia,rare,no,
s0416,K. Peloulos,77,LB|LM,Quebeca,Liga Sul,Estrela,rare,no,
s0417,D. Renridge,77,CAM|CF,Rioverde,Bundesklasse,Freistadt,rare,no,
s0418,F. Cavzaki,77,CB|LB,Polonia,Saudi Elite,Al Rakan,rare,no,
s0419,J. Margaard,76,CM,Albion,Bundesklasse,Freistadt,rare,no,
s0420,L. Cavaoui,76,CB|RB,Lusitania,Liga Primera,Elvira CF,rare,no,
s0421,D. Tamridge,76,CM,Albion,Liga Sul,Diamantina,rare,no,
s0422,M. Rasmann,76,RB|RM,Hispania,Liga Primera,Castellano,rare,no,
s0423,R. Marsson,76,RB|RM,Hispania,Saudi Elite,Al Qamar,rare,no,
s0424,S. Marinho,76,CAM|CF,Francia,Saudi Elite,Al Rakan,rare,no,
s0425,R. Rasinho,76,CM,Italica,Premier Division,Fairhaven,rare,no,
s0426,E. Vorgaard,76,CM,Marokka,Serie Prima,Boldini,rare,no,
s0427,E. Taminho,76,LM|LW,Quebeca,Liga Primera,Elvira CF,rare,no,
s0428,E. Tamderse,76,CB|RB,Rioverde,Premier Division,Brackley City,rare,no,
s0429,P. Rasgaard,76,RM|RW,Osteria,Serie Prima,Doriano,rare,no,
s0430,T. Cavovic,76,GK,Rioverde,Eredivisie Noord,Cuijkstad,rare,no,
s0431,B. Lunsson,75,GK,Rioverde,Liga Sul,Aracaju FC,rare,no,
s0432,C. Pelkova,75,CB|RB,Japonia,Liga Sul,Estrela,rare,no,
s0433,N. Valderse,75,CAM|CF,Norvegia,Liga Primera,Castellano,rare,no,
s0434,F. Valinho,75,ST,Polonia,Liga Sul,Cascavel,rare,no,
s0435,M. Valkova,75,CDM|CM,Albion,Saudi Elite,Al Rakan,rare,no,
s0436,S. Pelley,75,LW|ST,Batavia,Liga Primera,Alcazar,rare,no,
s0437,C. Cavzaki,75,ST,Japonia,Saudi Elite,Al Bahri,rare,no,
s0438,E. Pelsson,75,CDM|CM,Batavia,Ligue Premiere,Aubertin,rare,no,
s0439,T. Fenaoui,75,CDM|CM,Lusitania,Liga Sul,Estrela,rare,yes,
s0440,T. Berovic,75,LB|LM,Francia,Bundesklasse,Eichwald,rare,no,
s0441,T. Baggiotti,91,ST|CF,Turkia,,,icon,no,
s0442,L. Cruyffsen,90,CB|RB,Quebeca,,,icon,no,
s0443,T. Eusebiu,87,ST|CF,Germania,,,icon,no,
s0444,V. Garrinho,88,CB,Japonia,,,icon,no,
s0445,L. Hagiescu,87,ST,Turkia,,,icon,no,
